student_id_new,acct_id_new,person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id,gender,city,state,zip,ethnicity
7971,12470,29253,8,1,5,8.0,N,N,3.06667,1,3,3.06667,0,12,M,Ronda,NC,28670,0
7972,735,17292,57,21,5,8.0,N,N,3.86957,0,0,3.76923,0,11,F,Morganton,NC,28655,0
7973,5697,21664,76,15,5,8.0,N,N,,0,0,,0,11,F,West Jefferson,NC,28694,0
7974,10297,27786,22,9,5,6.0,N,N,0.33333,26,7,0.33333,16,11,M,Forest City,NC,28043,0
7975,14349,19591,58,7,5,8.0,N,N,2.38214,1,1,2.42143,2,12,M,Hayesville,NC,28904,0
7976,5365,22200,35,17,5,12.0,N,N,0.0,3,0,,0,12,M,Union Mills,NC,28167,0
7977,11610,24430,75,4,5,6.0,N,N,3.725,12,13,3.725,0,12,F,Burnsville,NC,28714,0
7978,14486,27783,58,7,5,6.0,N,N,3.45484,8,11,3.69333,0,12,M,Hayesville,NC,28904,0
7979,3244,16407,7,9,9,7.0,N,N,2.47826,5,10,1.85714,4,12,F,Rutherfordton,NC,28139,1
7980,15711,4275,36,10,5,6.0,N,N,3.20833,5,3,2.66667,0,12,M,Morganton,NC,28655,0
7981,13923,26394,23,17,5,11.0,N,N,0.0,0,0,,0,12,F,Caroleen,NC,28019,0
7982,3706,19953,13,23,5,9.0,N,N,,16,32,,0,12,M,Blowing Rock,NC,28605,0
7983,3742,9762,35,17,5,10.0,N,N,0.0,2,0,,0,12,F,Forest City,NC,28043,0
7984,385,19652,23,17,5,10.0,N,N,0.0,3,0,,0,12,M,Forest City,NC,28043,0
7985,16331,20815,73,21,5,8.0,N,N,4.0,0,5,4.0,0,11,M,Morganton,NC,28655,0
7986,5926,6998,55,10,5,6.0,N,Y,3.44,2,4,3.25,0,12,M,Morganton,NC,28655,0
7987,17239,17917,74,3,5,6.0,N,N,1.84,0,8,1.08571,4,12,M,Whittier,NC,28789,0
7988,846,29048,16,10,4,7.0,N,N,2.67857,0,0,1.83333,2,11,F,Morganton,NC,28655,0
7989,7530,12029,11,1,5,7.0,N,N,3.18333,8,4,3.18333,0,12,M,North Wilkesboro,NC,28659,0
7990,14705,5304,23,17,5,12.0,N,N,0.0,5,0,,0,12,F,Forest City,NC,28043,0
7991,10745,17237,22,9,5,6.0,N,N,3.476,7,5,2.99167,0,12,F,Ellenboro,NC,28040,0
7992,4502,9262,11,1,5,6.0,N,Y,2.95,0,4,2.95,0,12,F,Wilkesboro,NC,28697,0
7993,5747,28851,32,21,5,8.0,N,N,3.25,0,0,3.16667,0,11,F,Connelly Springs,NC,28612,0
7994,11558,10927,23,17,5,10.0,N,N,0.0,0,0,,0,12,M,Forest City,NC,28043,0
7995,13490,11026,51,10,5,6.0,N,Y,3.66667,0,0,3.61111,0,11,M,Connelly Springs,NC,28612,0
7996,10038,11334,50,8,5,9.0,N,N,3.52917,15,39,3.35333,0,12,F,Sparta,NC,28675,2
7997,11160,2949,51,10,5,7.0,N,N,2.58333,10,6,1.91667,1,11,M,Morganton,NC,28655,0
7998,6823,26367,64,22,5,6.0,N,N,3.84884,1,1,3.78333,0,11,M,Boone,NC,28607,0
